Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9685,0.9691,0.9975,0.9527,"{'C': 10, 'max_iter': 10000}"
KNN,1,0.9790,0.9792,0.9931,0.9724,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
Logistic Regression,2,0.9860,0.9858,0.9996,0.9929,"{'C': 10, 'max_iter': 10000}"
KNN,2,0.9825,0.9822,0.9878,0.9650,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,3,0.9720,0.9718,0.9953,0.9650,"{'C': 10, 'max_iter': 10000}"
KNN,3,0.9755,0.9763,0.9983,1.0000,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,4,0.9755,0.9753,0.9978,0.9787,"{'C': 10, 'max_iter': 10000}"
KNN,4,0.9790,0.9784,0.9957,0.9927,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
Logistic Regression,5,0.9720,0.9732,0.9980,0.9732,"{'C': 10, 'max_iter': 10000}"
KNN,5,0.9650,0.9645,0.9865,0.9577,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,6,0.9860,0.9858,0.9978,0.9858,"{'C': 10, 'max_iter': 10000}"
KNN,6,0.9720,0.9722,0.9948,0.9790,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,7,0.9825,0.9827,0.9954,0.9793,"{'C': 10, 'max_iter': 10000}"
KNN,7,0.9545,0.9556,0.9896,0.9722,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,8,0.9720,0.9740,0.9967,0.9804,"{'C': 10, 'max_iter': 10000}"
KNN,8,0.9580,0.9562,0.9886,0.9562,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
